,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77
0,child,motor,skill,mortality,patient,adulthood,origin,patient,mutation,gene,voltage,disease,symptom,age,transition,gene,isoform,mutation,mechanism,transition,isoform,gene,isoform,transition,isoform,treatment,mirna,birth,symptom,onset,mouse,model,mirna,function,brain,symptom,model,mirna,function,treatment,mirna,treatment,treatment,mirna,brain,institution,skill,innovation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,anxiety,racialization,dimension,racialization,discrimination,life,activity,running,relation,body,environment,design,hierarchy,interaction,athlete,activity,running,movement,narrative,movement,dimension,racialization,transfer,researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,policy,reorientation,policy,transformation,policy,politic,power,influence,power,instrument,protest,vision,actor,coalition,reform,reorientation,decision,politic,policy,politic,identity,identity,policy,discourse,identity,politic,policy,policy,policy,literature,policy,policy,discourse,compliance,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,multilingualism,diversity,landscape,region,day,area,diversity,group,group,population,language,policy,urbanisation,migration,socio,language,practice,language,group,change,language,landscape,diversity,sign,object,town,county,county,language,town,area,school,datum,sign,datum,datum,language,language,language,policy,ideology,language,norm,language,management,diversity,hierarchy,language,script,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,multilingualism,diversity,landscape,region,day,area,diversity,group,group,population,language,policy,urbanisation,migration,socio,language,practice,language,group,change,language,landscape,diversity,sign,object,town,county,county,language,town,area,school,datum,sign,datum,datum,language,language,language,policy,ideology,language,norm,language,management,diversity,hierarchy,language,script,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,identity,minority,male,document,gender,concept,socio,group,member,woman,origin,woman,origin,religion,model,gender,group,datum,trial,text,document,document,applicant,database,manuscript,group,gender,applicant,skill,group,transfer,diversity,heritage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,patriarchal,figure,patriarch,dimension,dimension,dimension,teacher,patriarchal,figure,figure,reading,theory,growth,work,text,conversation,concept,transmission,history,agency,growth,patriarchal,figure,patriarch,mechanism,transmission,transmission,structure,appreciation,innovation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,law,system,text,function,court,state,appeal,court,court,database,database,decision,database,practice,school,student,database,fellowship,researcher,model,court,state,century,function,state,court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,law,system,text,function,court,state,appeal,court,court,database,database,decision,database,practice,school,student,database,fellowship,researcher,model,court,state,century,function,state,court,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,century,outcast,work,community,philosophy,woman,foreigner,slave,child,outcast,community,outcast,relationship,citizen,exclusion,outcast,exclusion,century,thinker,figure,outcast,foreigner,slave,thought,minority,work,work,law,teaching,anthropology,thought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,century,outcast,work,community,philosophy,woman,foreigner,slave,child,outcast,community,outcast,relationship,citizen,exclusion,outcast,exclusion,century,thinker,figure,outcast,foreigner,slave,thought,minority,work,work,law,teaching,anthropology,thought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,production,practice,woman,practice,discourse,home,production,level,woman,self,homeland,mechanism,home,practice,woman,practice,community,woman,member,woman,performance,practice,agency,woman,community,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,clergy,century,history,religion,power,land,religion,scholarship,work,evangelization,clergy,network,power,work,relationship,edition,work,network,activity,network,datum,concept,discourse,evangelization,network,community,evangelization,word,vision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,football,football,class,mobility,medium,right,organization,agent,migrant,football,migration,religion,migrant,football,migration,religion,migrant,hope,intervention,hope,hope,football,migrant,industry,hope,hope,industry,narrative,migration,football,migrant,audience,football,policy,migration,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,football,football,class,mobility,medium,right,organization,agent,migrant,football,migration,religion,migrant,football,migration,religion,migrant,hope,intervention,hope,hope,football,migrant,industry,hope,hope,industry,narrative,migration,football,migrant,audience,football,policy,migration,right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,quantum,gravity,region,spacetime,quantum,gravity,theory,theory,law,hole,area,duality,nature,duality,quantum,gravity,theory,observable,amplitude,observable,amplitude,energy,fellowship,holography,hand,hole,amplitude,particle,symmetry,property,hand,holography,observable,gravity,gravity,spacetime,community,symmetry,amplitude,holography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,temperature,lifetime,application,material,technology,pixel,security,oled,application,energy,law,material,region,emissive,material,system,oled,material,system,action,work,wp,material,emissive,system,property,state,art,mechanism,wp,conversion,pixel,emission,environment,material,emission,system,oled,conversion,layer,application,physics,material,science,skill,network,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,breast,cancer,cancer,death,woman,cancer,death,diagnosis,treatment,label,sample,cancer,translation,industry,automation,practice,disease,group,work,plasma,urine,cancer,diagnosis,change,structure,plasma,urine,cancer,model,system,cancer,change,cancer,cancer,sample,plasma,serum,urine,label,decision,system,system,diagnosis,breast,cancer,patient,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ion,battery,market,property,vehicle,safety,material,air,battery,post,lithium,technology,safety,cycle,life,air,battery,energy,density,electrolyte,device,anode,battery,life,technology,material,evolution,reaction,material,property,energy,storage,device,activity,pom,electrolyte,air,battery,performance,pom,operating,electrolyte,air,cathode,device,cycle,life,energy,density,power,density,battery,lithium,technology,,,,,,,,,,,,,,,,,,,,,,,,
19,control,ion,battery,application,battery,operating,cycle,interaction,model,state,estimation,error,learning,model,learning,algorithm,time,behavior,battery,time,model,state,estimation,accuracy,temperature,life,battery,battery,lifetime,nature,control,state,estimation,power,electronic,battery,storage,system,machine,transfer,art,action,battery,level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,energy,storage,system,application,customer,battery,device,vehicle,emission,gas,fossil,energy,wind,power,energy,production,carbon,transportation,function,industry,lithium,ion,battery,storage,safety,electrolyte,battery,material,environment,battery,technology,silicon,lithium,cathode,electrolyte,cost,battery,gas,emission,transportation,vehicle,state,silicon,cell,energy,density,power,density,energy,density,energy,density,battery,cost,cycle,life,ion,battery,generation,battery,material,cell,design,safety,cost,,,,,,,,,,,,,
21,lithium,ion,ion,battery,battery,management,system,performance,life,battery,sustainability,state,parameter,state,state,health,safety,performance,optimization,accuracy,parameter,battery,lifetime,fellowship,lifetime,ion,battery,lifetime,application,battery,impedance,time,state,estimation,algorithm,impedance,battery,pack,impedance,estimation,algorithm,accuracy,algorithm,battery,life,application,life,application,vehicle,performance,application,battery,application,energy,storage,health,information,impedance,algorithm,life,battery,life,application,prediction,lifetime,safety,value,life,life,battery,pack,lifetime,battery,recycling,ion,battery,applicant,skill
22,transportation,carbon,emission,battery,technology,battery,pack,charging,behaviour,vehicle,change,innovation,battery,management,user,preference,learning,demand,prediction,model,user,demand,battery,pack,control,researcher,fellow,researcher,battery,control,work,area,control,intelligence,charging,system,battery,life,vehicle,resource,battery,pack,user,preference,demand,user,demand,battery,group,cooperation,vehicle,industry,industry,carbon,energy,city,,,,,,,,,,,,,,,,,,,,,,
23,emission,vehicle,energy,storage,technology,choice,lithium,ion,battery,achievement,control,safety,battery,control,model,document,physics,modelling,battery,lithium,prediction,safety,battery,safety,battery,management,system,fellow,battery,modelling,work,area,material,interplay,area,model,battery,material,model,growth,lithium,control,model,battery,safety,assessment,model,battery,safety,state,prediction,material,modelling,control,algorithm,target,audience,safety,battery,management,system,vehicle,,,,,,,,,,,,,,,,
24,philosophy,gender,life,science,representation,nature,woman,health,right,abortion,abortion,nature,representation,nature,abortion,science,abortion,level,abortion,right,representation,body,law,woman,abortion,family,woman,life,health,gender,equality,network,concept,datum,woman,profit,organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,philosophy,gender,life,science,representation,nature,woman,health,right,abortion,abortion,nature,representation,nature,abortion,science,abortion,level,abortion,right,representation,body,law,woman,abortion,family,woman,life,health,gender,equality,network,concept,datum,woman,profit,organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,right,liberty,democracy,democracy,wave,regime,reform,democracy,history,democratization,century,generation,wave,regime,mechanism,regime,student,movement,actor,change,democratization,wave,student,maintenance,innovation,regime,student,group,actor,regime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,right,liberty,democracy,democracy,wave,regime,reform,democracy,history,democratization,century,generation,wave,regime,mechanism,regime,student,movement,actor,change,democratization,wave,student,maintenance,innovation,regime,student,group,actor,regime,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,memory,mind,information,cortex,brain,network,cortex,transfer,stimulation,work,nature,brain,activity,brain,stimulation,cortex,controversy,literature,state,art,researcher,organisation,skill,researcher,cortex,transfer,generation,researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,woman,violence,lifetime,violence,woman,pattern,behaviour,violence,attitude,behaviour,reaction,risk,violence,attitude,level,behaviour,theory,attitude,model,theory,attitude,relation,brain,life,power,theory,formation,model,brain,life,modelling,model,life,behaviour,theory,model,attitude,norm,gender,equality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,practice,system,state,taxation,practice,work,regime,system,taxis,time,history,database,text,science,skill,unit,platform,history,measure,history,system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,initiative,refugee,education,student,teacher,activist,practice,policy,hope,refugee,education,practice,trauma,teaching,displacement,education,mobility,justice,learner,audio,documentary,initiative,level,policy,initiative,learner,policy,level,audio,documentary,production,refugee,education,fellowship,refugee,education,policy,intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,initiative,refugee,education,student,teacher,activist,practice,policy,hope,refugee,education,practice,trauma,teaching,displacement,education,mobility,justice,learner,audio,documentary,initiative,level,policy,initiative,learner,policy,level,audio,documentary,production,refugee,education,fellowship,refugee,education,policy,intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,initiative,refugee,education,student,teacher,activist,practice,policy,hope,refugee,education,practice,trauma,teaching,displacement,education,mobility,justice,learner,audio,documentary,initiative,level,policy,initiative,learner,policy,level,audio,documentary,production,refugee,education,fellowship,refugee,education,policy,intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,initiative,refugee,education,student,teacher,activist,practice,policy,hope,refugee,education,practice,trauma,teaching,displacement,education,mobility,justice,learner,audio,documentary,initiative,level,policy,initiative,learner,policy,level,audio,documentary,production,refugee,education,fellowship,refugee,education,policy,intervention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,anthropology,area,thought,anthropology,change,time,theory,origin,nature,history,translation,anthropology,manuscript,edition,manuscript,literature,accuracy,reconstruction,text,literature,literature,accuracy,work,database,work,translation,audience,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,model,policy,state,region,exile,member,concept,history,politic,actor,state,history,geopolitic,theory,practice,war,power,politic,transition,policy,communication,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,compound,mortality,sand,fly,transmission,agent,sand,fly,vector,parasite,agent,disease,leishmaniasis,population,disease,control,vector,leishmaniasis,vector,control,net,management,disease,vector,control,treatment,leishmaniasis,health,biology,parasite,resource,disease,control,transmission,intervention,vector,disease,parasite,insect,vector,leishmaniasis,sand,fly,cell,compound,adult,insect,compound,safety,efficacy,parasite,burden,sand,fly,drug,vector,disease,,,,,,,,,,,,,,,,,,,,,
38,movement,scholarship,psychoanalysis,gender,sexuality,ideology,psychoanalysis,community,gender,diversity,relationship,psychoanalysis,queer,politic,psychoanalysis,scholarship,politic,kinship,queer,theory,theory,material,scholarship,queer,theory,history,skill,teaching,community,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,movement,scholarship,psychoanalysis,gender,sexuality,ideology,psychoanalysis,community,gender,diversity,relationship,psychoanalysis,queer,politic,psychoanalysis,scholarship,politic,kinship,queer,theory,theory,material,scholarship,queer,theory,history,skill,teaching,community,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,movement,scholarship,psychoanalysis,gender,sexuality,ideology,psychoanalysis,community,gender,diversity,relationship,psychoanalysis,queer,politic,psychoanalysis,scholarship,politic,kinship,queer,theory,theory,material,scholarship,queer,theory,history,skill,teaching,community,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,pandemic,health,burden,population,behaviour,baby,pandemic,birth,pandemic,policy,level,datum,baby,pandemic,parent,change,birth,level,datum,welfare,regime,change,birth,change,pandemic,pregnancy,birth,birth,health,life,health,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,pandemic,health,burden,population,behaviour,baby,pandemic,birth,pandemic,policy,level,datum,baby,pandemic,parent,change,birth,level,datum,welfare,regime,change,birth,change,pandemic,pregnancy,birth,birth,health,life,health,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,pandemic,health,burden,population,behaviour,baby,pandemic,birth,pandemic,policy,level,datum,baby,pandemic,parent,change,birth,level,datum,welfare,regime,change,birth,change,pandemic,pregnancy,birth,birth,health,life,health,policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,activism,politic,solidarity,time,archive,migration,politic,rise,solidarity,movement,decline,history,history,movement,interaction,politic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,brain,restoration,stroke,disability,patient,performance,learning,biomarker,intervention,biomarker,brain,heart,interplay,change,brain,heart,interplay,severity,mortality,brain,brain,heart,interplay,information,organ,network,science,signal,processing,estimate,interaction,system,motor,datum,layer,network,causal,interaction,model,brain,heart,interplay,patient,stroke,brain,brain,brain,heart,interplay,brain,patient,brain,heart,interplay,healthcare,environment,resource,,,,,,,,,,,,,,,,,,,,,
46,diabetes,lifestyle,change,diabetes,intervention,interplay,lifestyle,interplay,intervention,lifestyle,diet,sleep,exercise,health,datum,sleep,resolution,intervention,database,resolution,time,concept,physics,health,state,model,evolution,health,modelling,parameter,prediction,health,law,evolution,model,parameter,control,risk,assessment,work,assessment,health,monitoring,policy,level,group,level,assessment,evaluation,health,parameter,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,scene,trial,theory,practice,law,woman,voice,body,scene,justice,scene,woman,actor,language,right,trial,voice,event,trial,language,justice,trial,practice,concept,tor,narrative,practice,retrial,justice,narrative,practice,retrial,tor,equality,difference,gender,right,truth,truth,practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,scene,trial,theory,practice,law,woman,voice,body,scene,justice,scene,woman,actor,language,right,trial,voice,event,trial,language,justice,trial,practice,concept,tor,narrative,practice,retrial,justice,narrative,practice,retrial,tor,equality,difference,gender,right,truth,truth,practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,surrealist,surrealist,artist,writer,production,production,network,relation,culture,land,surrealism,surrealist,culture,identity,literature,rise,material,movement,group,surrealism,culture,culture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,gender,difference,environment,park,city,restoration,recovery,resource,recovery,sustainability,gender,health,nature,health,nature,health,nature,health,theory,gender,woman,time,man,depression,socio,norm,attitude,behaviour,gender,relation,gender,socio,woman,sex,man,woman,nature,health,pathway,gender,policy,datum,nature,health,region,policy,policy,gender,city,city,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,gender,difference,environment,park,city,restoration,recovery,resource,recovery,sustainability,gender,health,nature,health,nature,health,nature,health,theory,gender,woman,time,man,depression,socio,norm,attitude,behaviour,gender,relation,gender,socio,woman,sex,man,woman,nature,health,pathway,gender,policy,datum,nature,health,region,policy,policy,gender,city,city,woman,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,identity,formation,state,monarchy,power,reform,century,exile,population,time,oppression,community,relation,language,identity,discrimination,material,exile,selection,material,collection,exile,fellowship,material,mentor,mentor,theory,history,researcher,migration,bias,education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,identity,formation,state,monarchy,power,reform,century,exile,population,time,oppression,community,relation,language,identity,discrimination,material,exile,selection,material,collection,exile,fellowship,material,mentor,mentor,theory,history,researcher,migration,bias,education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,behavior,decision,age,group,choice,value,decision,environment,information,choice,group,adolescent,decision,child,adult,environment,self,adolescent,information,neuroscience,group,processing,neuroscience,model,decision,researcher,neuroscience,policy,theory,decision,researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,speech,communication,speech,language,culture,function,memory,voice,semiotic,culture,neuroscience,function,speech,speech,culture,cognition,cognition,problem,speech,problem,speech,problem,problem,dimension,speech,speaking,property,problem,semiotic,speech,speech,problem,applicant,speech,problem,language,cognition,speech,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,governance,scholarship,measure,content,content,measure,design,policy,area,design,choice,design,transposition,variation,design,policy,area,transposition,content,rule,text,skill,unit,design,actor,design,policy,area,text,variation,panel,transposition,design,measure,argument,origin,design,rule,assessment,burden,institution,institution,researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
