,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69
0,population,energy,oled,energy,display,lighting,laser,oled,consumer,electronic,emitter,oled,emitter,energy,emitter,device,energy,conversion,emission,molecule,device,emission,molecule,molecule,process,device,efficiency,device,engineering,change,molecule,design,molecule,unit,control,device,efficiency,energy,function,unit,structure,function,design,emitter,,,,,,,,,,,,,,,,,,,,,,,,,,
1,receptor,synaptic,plasticity,calcium,membrane,trafficking,organization,nmdar,synaptic,patient,nmdar,abs,surface,trafficking,function,membrane,dynamic,interaction,membrane,organization,function,surface,interactome,nmdar,abs,patient,surface,interactome,hippocampal,neuron,patient,channel,excitability,nmdar,abs,hippocampal,neuron,excitability,resolution,abs,membrane,trafficking,topography,channel,channel,membrane,nmdar,channel,membrane,dynamic,,,,,,,,,,,,,,,,,,,,
2,receptor,synaptic,plasticity,calcium,membrane,trafficking,organization,nmdar,synaptic,patient,nmdar,abs,surface,trafficking,function,membrane,dynamic,interaction,membrane,organization,function,surface,interactome,nmdar,abs,patient,surface,interactome,hippocampal,neuron,patient,channel,excitability,nmdar,abs,hippocampal,neuron,excitability,resolution,abs,membrane,trafficking,topography,channel,channel,membrane,nmdar,channel,membrane,dynamic,,,,,,,,,,,,,,,,,,,,
3,soil,animal,nutrient,ecosystem,planet,extinction,population,abundance,constraint,animal,animal,transport,nutrient,scale,ecosystem,restoration,redistribution,animal,ecosystem,plant,carbon,storage,nutrient,loading,animal,dynamic,ecosystem,restoration,redistribution,nutrient,landscape,model,redistribution,landscape,restoration,conservation,integrity,climate,stability,paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,mechanic,superposition,quantum,object,state,object,nanoparticle,superposition,test,delocalization,motion,nanoparticle,isolation,ground,state,state,nanoparticle,quantum,state,nanoparticle,decoherence,quantum,quantum,decoherence,noise,approximation,design,decoherence,state,object,isolation,constraint,quantum,superposition,quantum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,theory,quantum,electronic,gain,quantum,qc,quantum,thermodynamic,qc,qc,qc,thrust,thrust,algorithm,source,system,qc,validation,quantum,system,thrust,qubit,information,computation,thermodynamic,mechanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,theory,quantum,electronic,gain,quantum,qc,quantum,thermodynamic,qc,qc,qc,thrust,thrust,algorithm,source,system,qc,validation,quantum,system,thrust,qubit,information,computation,thermodynamic,mechanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,theory,quantum,electronic,gain,quantum,qc,quantum,thermodynamic,qc,qc,qc,thrust,thrust,algorithm,source,system,qc,validation,quantum,system,thrust,qubit,information,computation,thermodynamic,mechanic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,physics,quantum,mechanic,gravity,correspondence,duality,model,spacetime,space,holography,duality,gravity,spacetime,duality,gravity,theory,quantum,gravity,spacetime,space,holography,correspondence,process,theory,correspondence,theory,exchange,space,holography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,physics,quantum,mechanic,gravity,correspondence,duality,model,spacetime,space,holography,duality,gravity,spacetime,duality,gravity,theory,quantum,gravity,spacetime,space,holography,correspondence,process,theory,correspondence,theory,exchange,space,holography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,exploration,body,quantum,physics,array,nanoparticle,interaction,cavity,nanoparticle,ground,state,nanoparticle,interaction,particle,body,observation,cavity,array,nanoparticle,system,equilibrium,relaxation,isolation,particle,quantum,system,landscape,interaction,thermalisation,thermalisation,phonon,inter,particle,interaction,inter,particle,force,phase,force,wave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
